id	clid	centr
1	1	
139	1	
1758	1	
984	1	
1097	1	
1133	1	
2383	1	
2389	1	
1790	1	
2043	1	
2269	1	
126	1	
231	1	
310	1	
368	1	
446	1	
488	1	
640	1	
726	1	
1019	1	
1023	1	
1315	1	
1428	1	
1472	1	
1515	1	
1520	1	
1555	1	
1566	1	
1574	1	
1604	1	
1661	1	
1715	1	
1926	1	
2004	1	
2035	1	
2407	1	
108	1	
1757	1	
1917	1	
2060	1	
564	1	
2125	1	
486	1	
494	1	
506	1	
608	1	
635	1	
1083	1	
1087	1	
1218	1	
1265	1	
1279	1	
1351	1	
1397	1	
1413	1	
1432	1	
1479	1	
1576	1	
1603	1	
1650	1	
1680	1	
1708	1	
1729	1	
2095	1	
2145	1	
2167	1	
2247	1	
2453	1	
356	1	
2466	1	
45	1	
87	1	
509	1	
816	1	
1774	1	
1823	1	
2040	1	
92	1	
397	1	
23	1	
189	1	
376	1	
970	1	
1084	1	
221	1	
367	1	
470	1	
599	1	
614	1	
1109	1	
1756	1	
2011	1	
54	1	
928	1	
1314	1	
1766	1	
1826	1	
2023	1	
2129	1	
26	1	
299	1	
456	1	
516	1	
1851	1	
504	1	
1852	1	
1951	1	
81	1	
582	1	
1801	1	
1578	1	
1592	1	
1787	1	
2427	1	
1953	1	
1859	1	
2009	1	
2186	1	
2393	1	
197	1	
918	1	
11	1	
127	1	
308	1	
386	1	
930	1	
1517	1	
1896	1	
1975	1	
2006	1	
149	1	
214	1	
1950	1	
1387	1	
2175	1	
2022	1	
580	1	
542	1	
1798	1	
2027	1	
2350	1	
471	1	
593	1	
716	1	
870	1	
1184	1	
1201	1	
1436	1	
1541	1	
1634	1	
1692	1	
1733	1	
2092	1	
2200	1	
2259	1	
2316	1	
612	1	
1017	1	
1120	1	
1493	1	
2174	1	
901	1	
2312	1	
22	1	
35	1	
165	1	
266	1	
291	1	
900	1	
948	1	
1394	1	
1740	1	
30	1	
138	1	
242	1	
1831	1	
91	1	
180	1	
246	1	
302	1	
406	1	
565	1	
1173	1	
1887	1	
5	1	
240	1	
327	1	
370	1	
1898	1	
57	1	
440	1	
480	1	
615	1	
626	1	
1772	1	
128	1	
207	1	
236	1	
244	1	
346	1	
656	1	
719	1	
965	1	
1190	1	
1577	1	
1673	1	
1743	1	
2003	1	
2091	1	
137	1	
1677	1	
1814	1	
2142	1	
124	1	
222	1	
304	1	
490	1	
514	1	
621	1	
739	1	
1062	1	
1277	1	
1306	1	
1321	1	
1585	1	
1717	1	
1816	1	
1862	1	
1909	1	
1961	1	
2220	1	
2441	1	
464	1	
2325	1	
410	1	
1179	1	
53	1	
324	1	
360	1	
803	1	
1386	1	
115	1	
375	1	
1252	1	
1299	1	
1335	1	
1338	1	
1482	1	
1496	1	
1644	1	
2005	1	
2243	1	
90	1	
95	1	
131	1	
223	1	
404	1	
1470	1	
415	1	
638	1	
1767	1	
70	1	
134	1	
1888	1	
1920	1	
256	1	
170	1	
255	1	
434	1	
558	1	
1064	1	
1755	1	
475	1	
1512	1	
292	1	
1791	1	
1869	1	
1873	1	
625	1	
225	1	
270	1	
543	1	
1995	1	
130	1	
1653	1	
1522	1	
104	1	
954	1	
926	1	
1022	1	
1502	1	
1516	1	
1838	1	
1970	1	
2068	1	
2198	1	
2057	1	
1843	1	
202	1	
32	1	
245	1	
188	1	
169	1	
1233	1	
1298	1	
1979	1	
1186	1	
1890	1	
1547	1	
1615	1	
381	1	
1885	1	
1932	1	
585	1	
684	1	
2268	1	
215	1	
980	1	
1215	1	
607	1	
724	1	
1734	1	
96	1	
455	1	
1427	1	
1449	1	
1452	1	
1467	1	
1507	1	
1567	1	
1699	1	
2342	1	
517	1	
642	1	
788	1	
1294	1	
1501	1	
1511	1	
1687	1	
2039	1	
2097	1	
2248	1	
2315	1	
2408	1	
2428	1	
548	1	
217	1	
523	1	
650	1	
651	1	
722	1	
783	1	
842	1	
846	1	
847	1	
886	1	
897	1	
951	1	
1030	1	
1089	1	
1134	1	
1141	1	
1156	1	
1174	1	
1361	1	
1362	1	
1375	1	
1430	1	
1998	1	
2025	1	
2031	1	
2062	1	
2067	1	
2165	1	
2170	1	
2230	1	
2231	1	
2236	1	
2241	1	
2252	1	
2381	1	
2401	1	
2417	1	
2468	1	
2481	1	
936	1	
1060	1	
1094	1	
1373	1	
1400	1	
1570	1	
1962	1	
2310	1	
1304	1	
1713	1	
779	1	
1157	1	
1360	1	
1524	1	
1560	1	
1589	1	
1622	1	
2082	1	
2216	1	
2324	1	
2361	1	
1689	1	
2302	1	
661	1	
872	1	
1487	1	
1706	1	
1731	1	
1600	1	
2313	1	
1176	1	
1407	1	
2225	1	
2411	1	
2432	1	
277	1	
1586	1	
2191	1	
2442	1	
2413	1	
437	1	
840	1	
1098	1	
1269	1	
1295	1	
1897	1	
2056	1	
2086	1	
2156	1	
2348	1	
2418	1	
795	1	
922	1	
1273	1	
1307	1	
1438	1	
2258	1	
869	1	
1027	1	
1238	1	
453	1	
522	1	
673	1	
1085	1	
1711	1	
1737	1	
2069	1	
2450	1	
2249	1	
261	1	
286	1	
9	1	
1099	1	
1286	1	
773	1	
826	1	
279	1	
677	1	
1468	1	
1671	1	
1466	1	
1682	1	
1886	1	
136	1	
631	1	
639	1	
1749	1	
2399	1	
934	1	
1323	1	
1612	1	
1683	1	
1893	1	
110	1	
284	1	
837	1	
2123	1	
2131	1	
1817	1	
452	1	
1810	1	
1469	1	
1632	1	
1309	1	
923	1	
1964	1	
269	1	
281	1	
1861	1	
2478	1	
267	1	
332	1	
411	1	
603	1	
2065	1	
412	1	
433	1	
495	1	
525	1	
529	1	
172	1	
1874	1	
89	1	
379	1	
230	1	
391	1	
226	1	
388	1	
82	1	
551	1	
250	1	
387	1	
481	1	
1412	1	
2294	1	
1508	1	
1513	1	
1745	1	
2028	1	
1458	1	
1840	1	
1860	1	
1884	1	
2137	1	
1824	1	
526	1	
601	1	
971	1	
575	1	
395	1	
927	1	
194	1	
1821	1	
536	1	
553	1	
616	1	
257	1	
1329	1	
350	1	
711	1	
1048	1	
1308	1	
1435	1	
1538	1	
1665	1	
1718	1	
2377	1	
2112	1	
610	1	
1855	1	
727	1	
1648	1	
883	1	
754	1	
1145	1	
1739	1	
2476	1	
755	1	
2288	1	
2304	1	
660	1	
733	1	
793	1	
863	1	
962	1	
