id	clid	centr
1	-1	@
2	1	
147	1	
566	1	
146	1	
161	1	
285	1	
351	1	
360	1	
454	1	
476	1	
569	1	
579	1	
210	1	
309	1	
465	1	
137	1	
226	1	
438	1	
69	1	
293	1	
555	1	
78	1	
311	1	
441	1	
446	1	
214	1	
478	1	
188	1	
202	1	
340	1	
368	1	
399	1	
553	1	
462	1	
64	1	
426	1	
428	1	
461	1	@
468	1	
494	1	
429	1	
644	1	
655	1	
62	1	
144	1	
330	1	
482	1	
157	1	
466	1	
165	1	
103	1	
347	1	
20	1	
102	1	
128	1	
149	1	
203	1	
280	1	
325	1	
396	1	
397	1	
405	1	
412	1	
421	1	
445	1	
475	1	
481	1	
496	1	
585	1	
136	1	
388	1	
612	1	
588	1	
643	1	
88	1	
95	1	
314	1	
464	1	
297	1	
339	1	
305	1	
7	1	
39	1	
526	1	
592	1	
169	1	
449	1	
502	1	
283	1	
343	1	
531	1	
606	1	
582	1	
590	1	
623	1	
537	1	
563	1	
631	1	
678	1	
273	1	
92	1	
374	1	
234	1	
455	1	
43	1	
65	1	
191	1	
629	1	
66	1	
341	1	
630	1	
562	1	
571	1	
549	1	
344	1	
268	1	
473	1	
591	1	
154	1	
183	1	
348	1	
422	1	
518	1	
633	1	
551	1	
29	1	
257	1	
329	1	
109	1	
419	1	
393	1	
227	1	
430	1	
517	1	
135	1	
119	1	
319	1	
385	1	
77	1	
111	1	
159	1	
284	1	
326	1	
333	1	
382	1	
610	1	
170	1	
228	1	
452	1	
559	1	
120	1	
602	1	
195	1	
413	1	
512	1	
192	1	
395	1	
79	1	
91	1	
204	1	
302	1	
420	1	
230	1	
296	1	
303	1	
500	1	
522	1	
543	1	
586	1	
620	1	
213	1	
26	1	
90	1	
447	1	
208	1	
353	1	
38	1	
130	1	
242	1	
453	1	
30	1	
50	1	
160	1	
248	1	
250	1	
403	1	
114	1	
221	1	
307	1	
337	1	
370	1	
436	1	
470	1	
5	1	
155	1	
201	1	
167	1	
641	1	
323	1	
327	1	
387	1	
278	1	
660	1	
532	1	
113	1	
3	2	
139	2	
153	2	
263	2	
416	2	
80	2	
23	2	
225	2	
469	2	
60	2	
398	2	
406	2	
444	2	
474	2	
81	2	
238	2	
243	2	
254	2	
264	2	
365	2	
383	2	
634	2	
316	2	
357	2	
410	2	
525	2	
28	2	
456	2	
527	2	
56	2	
350	2	
116	2	
47	2	
266	2	
300	2	
321	2	
485	2	
83	2	
177	2	
377	2	
251	2	
274	2	
538	2	
342	2	
57	2	
176	2	
198	2	
301	2	
349	2	
477	2	
558	2	
632	2	
158	2	
358	2	
220	2	
294	2	
457	2	
223	2	
614	2	
86	2	
129	2	
134	2	
619	2	
642	2	
407	2	
487	2	
335	2	
595	2	
40	2	
411	2	
271	2	
499	2	
627	2	
52	2	
540	2	
402	2	
185	2	
70	2	
599	2	
219	2	
472	2	
110	2	
121	2	
150	2	
269	2	
310	2	@
427	2	
460	2	
480	2	
554	2	
442	2	
589	2	
12	2	
649	2	
552	2	
85	2	
232	2	
510	2	
423	2	
652	2	
18	2	
199	2	
173	2	
224	2	
384	2	
515	2	
249	2	
550	2	
490	2	
272	2	
600	2	
125	2	
172	2	
126	2	
637	2	
132	2	
4	2	
76	2	
439	2	
21	2	
376	2	
17	2	
11	2	
9	2	
13	2	
108	2	
267	2	
567	2	
611	2	
659	2	
99	2	
189	2	
275	2	
196	2	
498	2	
520	2	
33	2	
654	2	
521	2	
151	2	
45	2	
194	2	
497	2	
635	2	
277	2	
373	2	
572	2	
6	-2	@
8	3	@
239	3	
10	-3	@
14	-4	@
15	-5	@
16	4	
32	4	
148	4	
171	4	
345	4	
355	4	
409	4	
489	4	
55	4	
523	4	
184	4	
503	4	
574	4	
279	4	
105	4	
331	4	
31	4	
209	4	
222	4	
415	4	@
513	4	
289	4	
484	4	
601	4	
645	4	
19	5	
362	5	
450	5	
493	5	@
580	5	
593	5	
205	5	
291	5	
22	-6	@
24	-7	@
25	-8	@
27	6	@
509	6	
34	-9	@
35	-10	@
36	-11	@
37	7	@
178	7	
322	7	
41	-12	@
42	-13	@
44	-14	@
46	8	@
292	8	
48	9	@
93	9	
332	9	
431	9	
49	10	@
433	10	
51	11	
175	11	@
259	11	
53	12	
174	12	
318	12	
598	12	
617	12	
621	12	@
54	13	
246	13	
252	13	@
181	13	
381	13	
596	13	
417	13	
58	-15	@
59	14	@
346	14	
61	15	
187	15	
369	15	@
63	16	
507	16	@
564	16	
67	17	
74	17	
245	17	@
372	17	
265	17	
546	17	
241	17	
661	17	
200	17	
212	17	
68	-16	@
71	-17	@
72	-18	@
73	18	@
100	18	
141	18	
133	18	
75	19	
89	19	
118	19	
168	19	
182	19	
186	19	
218	19	
288	19	
361	19	
391	19	@
524	19	
211	19	
256	19	
356	19	
