Kelley Indexes for All Cluster Levels

level	index
1	685,0000
2	293,6385
3	185,5252
4	138,2679
5	106,0836
6	87,5742
7	74,1642
8	65,1903
9	58,5415
10	53,9884
11	51,0243
12	47,6853
13	45,2115
14	43,4574
15	42,0984
16	41,1003
17	40,1616
18	39,6872
19	39,2746
20	38,9795
21	38,8711
22	38,8217
23	38,8632
24	39,0471
25	39,3083
26	39,7282
27	40,0998
28	40,5491
29	41,0376
30	41,5680
31	42,1046
32	42,7125
33	43,3162
34	43,9385
35	44,5548
36	45,2547
37	45,9205
38	46,6367
39	47,3868
40	48,1284
41	48,8825
42	49,6521
43	50,4297
44	51,2334
45	52,0251
46	52,8546
47	53,6826
48	54,5190
49	55,3741
50	56,2146
51	57,0568
52	57,9097
53	58,7772
54	59,6633
55	60,5532
56	61,4432
57	62,3439
58	63,2331
59	64,1336
60	65,0465
61	65,9539
62	66,8645
63	67,7791
64	68,6901
65	69,6083
66	70,5255
67	71,4439
68	72,3662
69	73,3024
70	74,2306
71	75,1654
72	76,1038
73	77,0414
74	77,9785
75	78,9203
76	79,8670
77	80,8136
78	81,7610
79	82,7062
80	83,6543
81	84,6043
82	85,5567
83	86,5122
84	87,4663
85	88,4202
86	89,3786
87	90,3363
88	91,2970
89	92,2588
90	93,2177
91	94,1808
92	95,1413
93	96,1053
94	97,0713
95	98,0378
96	99,0053
97	99,9737
98	100,9428
99	101,9146
100	102,8851
101	103,8573
102	104,8310
103	105,8011
104	106,7732
105	107,7475
106	108,7215
107	109,6947
108	110,6704
109	111,6449
110	112,6195
111	113,5966
112	114,5743
113	115,5507
114	116,5272
115	117,5048
116	118,4827
117	119,4615
118	120,4418
119	121,4232
120	122,4269
121	123,4074
122	124,3888
123	125,3703
124	126,3535
125	127,3360
126	128,3188
127	129,3030
128	130,2862
129	131,2701
130	132,2543
131	133,2385
132	134,2233
133	135,2075
134	136,1923
135	137,1769
136	138,1621
137	139,1481
138	140,1352
139	141,1215
140	142,1070
141	143,0938
142	144,0813
143	145,0690
144	146,0559
145	147,0429
146	148,0309
147	149,0191
148	150,0152
149	151,0020
150	151,9909
151	152,9789
152	153,9678
153	154,9570
154	155,9538
155	156,9426
156	157,9325
157	158,9294
158	159,9188
159	160,9095
160	161,8990
161	162,8957
162	163,8857
163	164,8770
164	165,8669
165	166,8573
166	167,8480
167	168,8400
168	169,8313
169	170,8323
170	171,8235
171	172,8145
172	173,8056
173	174,7972
174	175,7886
175	176,7805
176	177,7724
177	178,7640
178	179,7559
179	180,7477
180	181,7401
181	182,7326
182	183,7293
183	184,7261
184	185,7200
185	186,7126
186	187,7131
187	188,7058
188	189,7062
189	190,6987
190	191,6916
191	192,6845
192	193,6777
193	194,6712
194	195,6651
195	196,6585
196	197,6588
197	198,6523
198	199,6461
199	200,6398
200	201,6374
201	202,6351
202	203,6287
203	204,6220
204	205,6157
205	206,6101
206	207,6046
207	208,5991
208	209,5930
209	210,5872
210	211,5815
211	212,5759
212	213,5701
213	214,5643
214	215,5587
215	216,5534
216	217,5480
217	218,5426
218	219,5374
219	220,5322
220	221,5269
221	222,5269
222	223,5248
223	224,5229
224	225,5180
225	226,5127
226	227,5079
227	228,5078
228	229,5077
229	230,5059
230	231,5008
231	232,4958
232	233,4957
233	234,4910
234	235,4866
235	236,4847
236	237,4826
237	238,4826
238	239,4825
239	240,4779
240	241,4763
241	242,4719
242	243,4718
243	244,4669
244	245,4669
245	246,4625
246	247,4581
247	248,4581
248	249,4536
249	250,4536
250	251,4492
251	252,4448
252	253,4407
253	254,4365
254	255,4325
255	256,4324
256	257,4284
257	258,4247
258	259,4207
259	260,4190
260	261,4148
261	262,4147
262	263,4109
263	264,4109
264	265,4093
265	266,4055
266	267,4019
267	268,4005
